id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns
1,BTC-USDT,long,2024-11-03 17:00:00,68416.40,2024-11-03 18:45:00,67760.04,-9.59,-0.96,sl_hit,three_white_soldiers
2,BTC-USDT,long,2024-11-03 23:00:00,68755.60,2024-11-04 00:30:00,68289.14,-6.78,-0.68,sl_hit,hammer
3,BTC-USDT,short,2024-11-04 05:00:00,69150.40,2024-11-04 08:30:00,68554.19,8.61,0.86,tp_hit,engulfing
4,BTC-USDT,long,2024-11-04 08:00:00,68690.50,2024-11-04 13:00:00,69201.34,7.42,0.74,tp_hit,harami
5,BTC-USDT,short,2024-11-05 02:00:00,68023.40,2024-11-05 05:30:00,68527.19,-7.41,-0.74,sl_hit,evening_star
6,BTC-USDT,long,2024-11-05 05:00:00,68403.00,2024-11-05 07:30:00,68879.59,6.97,0.70,tp_hit,three_white_soldiers
7,BTC-USDT,long,2024-11-05 08:00:00,68893.10,2024-11-05 14:15:00,69407.39,7.46,0.75,tp_hit,three_white_soldiers
8,BTC-USDT,long,2024-11-05 14:00:00,68908.70,2024-11-05 14:15:00,69357.41,6.51,0.65,tp_hit,engulfing
9,BTC-USDT,long,2024-11-05 20:00:00,69478.90,2024-11-06 00:30:00,70633.84,16.64,1.66,tp_hit,harami
10,BTC-USDT,long,2024-11-06 02:00:00,71300.90,2024-11-06 02:30:00,72651.91,19.00,1.89,tp_hit,three_white_soldiers
12,BTC-USDT,long,2024-11-06 08:00:00,73379.60,2024-11-06 18:45:00,75208.79,25.05,2.49,tp_hit,doji|harami
13,BTC-USDT,long,2024-11-06 11:00:00,73846.60,2024-11-06 18:45:00,75119.78,17.33,1.72,tp_hit,three_white_soldiers
11,BTC-USDT,long,2024-11-06 05:00:00,73977.00,2024-11-06 20:45:00,76251.96,30.90,3.08,tp_hit,engulfing
14,BTC-USDT,long,2024-11-06 20:00:00,75931.70,2024-11-07 00:15:00,75272.63,-8.76,-0.87,sl_hit,three_white_soldiers
